"ITTER107","Territorio","TIPO_DATO_1522","Tipo dato","TIPUTENZA2","Tipologia di utenza","SEXISTAT1","Sesso","ISO","Nazionalità","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"ITG","Isole","USERS","utenti del 1522","USERS_CAL","utenti che chiamano per sè","T","totale","NRP","Non Indicato","2014","2014",17,,
"ITG","Isole","USERS","utenti del 1522","ALL_VAL","chiamate valide","NRP","non indicato","NRP","Non Indicato","2013","2013",23,,
"ITG","Isole","USERS","utenti del 1522","ALL_VAL","chiamate valide","NRP","non indicato","NRP","Non Indicato","2014","2014",2,,
"ITG","Isole","USERS","utenti del 1522","OPERATORS","da operatori","NRP","non indicato","NRP","Non Indicato","2013","2013",1,,
"ITG","Isole","USERS","utenti del 1522","USERS_CAL","utenti che chiamano per sè","NRP","non indicato","NRP","Non Indicato","2013","2013",22,,
"ITG","Isole","USERS","utenti del 1522","USERS_CAL","utenti che chiamano per sè","NRP","non indicato","NRP","Non Indicato","2014","2014",2,,
"ITG1","Sicilia","USERS","utenti del 1522","ALL_VAL","chiamate valide","M","maschi","NRP","Non Indicato","2013","2013",18,,
"ITG1","Sicilia","USERS","utenti del 1522","ALL_VAL","chiamate valide","M","maschi","NRP","Non Indicato","2014","2014",2,,
"ITG1","Sicilia","USERS","utenti del 1522","OPERATORS","da operatori","M","maschi","NRP","Non Indicato","2013","2013",3,,
"ITG1","Sicilia","USERS","utenti del 1522","FRIEND_ACQU","da parenti/amici/conoscenti","M","maschi","NRP","Non Indicato","2013","2013",1,,
"ITG1","Sicilia","USERS","utenti del 1522","USERS_CAL","utenti che chiamano per sè","M","maschi","NRP","Non Indicato","2013","2013",14,,
"ITG1","Sicilia","USERS","utenti del 1522","USERS_CAL","utenti che chiamano per sè","M","maschi","NRP","Non Indicato","2014","2014",2,,
"ITG1","Sicilia","USERS","utenti del 1522","ALL_VAL","chiamate valide","F","femmine","NRP","Non Indicato","2013","2013",48,,
"ITG1","Sicilia","USERS","utenti del 1522","ALL_VAL","chiamate valide","F","femmine","NRP","Non Indicato","2014","2014",9,,
"ITG1","Sicilia","USERS","utenti del 1522","OPERATORS","da operatori","F","femmine","NRP","Non Indicato","2013","2013",2,,
"ITG1","Sicilia","USERS","utenti del 1522","USERS_CAL","utenti che chiamano per sè","F","femmine","NRP","Non Indicato","2013","2013",46,,
"ITG1","Sicilia","USERS","utenti del 1522","USERS_CAL","utenti che chiamano per sè","F","femmine","NRP","Non Indicato","2014","2014",9,,
"ITG1","Sicilia","USERS","utenti del 1522","ALL_VAL","chiamate valide","T","totale","NRP","Non Indicato","2013","2013",83,,
"ITG1","Sicilia","USERS","utenti del 1522","ALL_VAL","chiamate valide","T","totale","NRP","Non Indicato","2014","2014",12,,
"ITG1","Sicilia","USERS","utenti del 1522","OPERATORS","da operatori","T","totale","NRP","Non Indicato","2013","2013",5,,
"ITG1","Sicilia","USERS","utenti del 1522","FRIEND_ACQU","da parenti/amici/conoscenti","T","totale","NRP","Non Indicato","2013","2013",1,,
"ITG1","Sicilia","USERS","utenti del 1522","USERS_CAL","utenti che chiamano per sè","T","totale","NRP","Non Indicato","2013","2013",77,,
"ITG1","Sicilia","USERS","utenti del 1522","USERS_CAL","utenti che chiamano per sè","T","totale","NRP","Non Indicato","2014","2014",12,,
"ITG1","Sicilia","USERS","utenti del 1522","ALL_VAL","chiamate valide","NRP","non indicato","NRP","Non Indicato","2013","2013",17,,
"ITG1","Sicilia","USERS","utenti del 1522","ALL_VAL","chiamate valide","NRP","non indicato","NRP","Non Indicato","2014","2014",1,,
"ITG1","Sicilia","USERS","utenti del 1522","USERS_CAL","utenti che chiamano per sè","NRP","non indicato","NRP","Non Indicato","2013","2013",17,,
"ITG1","Sicilia","USERS","utenti del 1522","USERS_CAL","utenti che chiamano per sè","NRP","non indicato","NRP","Non Indicato","2014","2014",1,,
"ITG2","Sardegna","USERS","utenti del 1522","ALL_VAL","chiamate valide","M","maschi","NRP","Non Indicato","2013","2013",3,,
"ITG2","Sardegna","USERS","utenti del 1522","ALL_VAL","chiamate valide","M","maschi","NRP","Non Indicato","2014","2014",1,,
